5,5,Posted small,-10,15,1420,0.401,Fold
5,5,Posted small,-10,15,1420,0.387,Fold
5,5,Posted small,-10,15,1420,0.557,Raise pot
5,5,Posted small,-10,15,1420,0.573,Raise pot
5,5,Posted small,-10,15,1435,0.592,Raise pot
5,5,Posted small,-10,15,1450,0.617,Raise pot
15,10,Posted big,-10,35,1455,0.5,Raise pot
85,60,Raise pot,-10,205,1405,0.518,Raise pot
5,5,Posted small,-10,15,1605,0.6,Raise pot
5,5,Posted small,-10,15,1620,0.509,Raise pot
5,5,Posted small,-10,15,1635,0.399,Fold
15,10,Posted big,-10,35,1625,0.581,Raise pot
5,5,Posted small,-10,15,1655,0.802,Raise pot
15,10,Posted big,-10,35,1660,0.627,Raise pot
85,60,Raise pot,-10,205,1610,0.617,Call
290,0,Call,-10,580,1525,0.603,Raise pot
5,5,Posted small,-10,15,2100,0.66,Raise pot
5,5,Posted small,-10,15,2135,0.54,Raise pot
35,25,Raise pot,-10,85,2115,0.518,Raise pot
205,145,Raise pot,-10,495,1995,0.523,Fold
15,10,Posted big,-10,35,1985,0.461,Fold
5,5,Posted small,-10,15,1980,0.577,Raise pot
35,25,Raise pot,-10,85,1960,0.596,Call
0,0,Call,-10,120,1925,0.45,Check
